time,Q1,Q2,T1,T2,Tp
344,0,0,293.142,293.101,293.179
344.5,0,0,293.132,293.105,293.109
345,0,0,293.125,293.108,293.054
345.5,0,0,293.129,293.116,293.065
346,0,0,293.131,293.124,293.074
346.5,0,0,293.127,293.123,293.055
347,0,0,293.124,293.123,293.042
347.5,0,0,293.142,293.116,293.052
348,0,0,293.157,293.112,293.06
348.5,0,0,293.148,293.105,293.052
349,0,0,293.141,293.102,293.046
349.5,0,0,293.124,293.097,293.058
350,0,0,293.112,293.092,293.068
350.5,0,0,293.08,293.113,293.069
351,0,0,293.057,293.129,293.07
351.5,0,0,293.051,293.107,293.115
352,0,0,293.046,293.088,293.149
352.5,0,0,293.041,293.088,293.156
353,0,0,293.037,293.09,293.16
353.5,0,0,293.065,293.12,293.196
354,0,0,293.087,293.145,293.221
354.5,0,0,293.13,293.134,293.208
355,0,0,293.163,293.125,293.198
355.5,0,0,293.138,293.127,293.192
356,0,0,293.12,293.129,293.187
356.5,0,0,293.115,293.11,293.165
357,0,0,293.11,293.096,293.147
357.5,0,0,293.069,293.131,293.154
358,0,0,293.035,293.158,293.159
358.5,0,0,293.021,293.176,293.146
359,0,0,293.01,293.191,293.136
359.5,0,0,293.029,293.142,293.143
360,0,0,293.043,293.104,293.148
360.5,0,0,293.068,293.11,293.125
361,0,0,293.086,293.116,293.107
361.5,0,0,293.098,293.121,293.107
362,0,0,293.107,293.125,293.107
362.5,0,0,293.143,293.085,293.108
363,0,0,293.171,293.053,293.108
363.5,0,0,293.154,293.065,293.07
364,0,0,293.142,293.075,293.041
364.5,0,0,293.101,293.062,293.057
365,0,0,293.069,293.051,293.069
